itemName,itemEffect,itemSource,location,act
Nyrulna,"Deal additional 1d6 Thunder damage with this weapon This weapon sheds light in a 6 m / 20 ft radius. This can be toggled off When thrown, returns to your hand. Deal additional 3d4 Thunder damage in a 3 m / 10 ft radius around the target when throwing this weapon Immunity to falling damage. Your movement speed and Jump distance are increased by 3 m / 10 ft Gain an action to charge up to 12 m / 40 ft forward to a target, dealing 6d8 Thunder damage to every enemy caught in the charge; The target(s) must succeed DC 15 Dexterity save or receive full damage (instead of half damage on a save), suffer Bleeding for 3 turns, and get knocked 2 m / 7 ft back ( Recharge: Short rest) Gain an action to cast special Gust of Wind that deals 6d6 Thunder damage ( Recharge: Short rest)",Locked painted chest near the portal in the south-eastern part of the Jungle,Jungle X: -1512 Y: -1523,3
Dark Displacement Gloves,"+1 bonus to attack rolls when Throwing, and the target of your throw attack must succeed DC 13 Dexterity save or swap places with you Sleight of Hand +1",Bought or stolen from Popper at his tent in the western part of the Circus of the Last Days,X: -90 Y: -56,3
The Pointy Hat,Gain a bonus to Persuasion ability checks equal to your Intelligence modifier,Locked opulent chest in a tent behind Lucretious in the north-western corner of the Circus of the Last Days,X: -85 Y: -24,3
Hollow's Staff,"Deal additional 1d4 Necrotic damage in melee with this weapon Target(s) have disadvantage on saving throws against your necromancy spells Cast Arms of Hadar (level 1) ( Recharge: Long rest)",Lucretious[5] at her tent in the north-western corner of the Circus of the Last Days,X: -82 Y: -33,3
Spellmight Gloves,"When you cast a spell that uses attack rolls, you can choose to take a -5 penalty to the roll to deal an additional 1d8 damage. This functions like Great Weapon Master: All In and can be toggled off","Looted, stolen from Lucretious at her tent in the north-western corner of the Circus of the Last Days, or rewarded by her for Find Dribbles the Clown",X: -82 Y: -33,3
Clown Hammer,"On a critical hit with this warhammer, the target (and you) must succeed DC 17 Wisdom save or succumb to Hideous Laughter for 2 turns",Dribbles on the stage in the north-eastern corner of the Circus of the Last Days,X: -43 Y: -35,3
Swires' Sledboard,"At the start of your turn during combat, gain Force Conduit for 2 turns Gain an action to expend your Reaction and bash with this shield when hit by an enemy, knocking them Prone for 1 turn if they fail their Dexterity save against your spell save DC",Bought or stolen from Exxvikyap at the ground floor of Rivington General,X: 7 Y: -34,3
Bonespike Garb,"Upon entering Rage, gain 15 temporary hit points All incoming damage is reduced by 2. When you are struck by a melee attack, the attacker receives Piercing damage equal to your Constitution modifier",Bought or stolen from Exxvikyap at the ground floor of Rivington General,X: 7 Y: -34,3
The Dancing Breeze,"Gain an action to strike all nearby foes, making separate attack rolls against each target ( Recharge: Short rest)",Bought or stolen from Exxvikyap at the ground floor of Rivington General,X: 7 Y: -34,3
Stalker Gloves,"+1 bonus to Initiative rolls Deal additional 1d4 Force damage with your Sneak Attacks",Bought or stolen from Exxvikyap at the ground floor of Rivington General,X: 7 Y: -34,3
Elven Chain,"You are considered proficient with this armour while wearing it Advantage on Dexterity saving throws and a +2 bonus to Initiative rolls",Bought or stolen from Exxvikyap at the ground floor of Rivington General,X: 7 Y: -34,3
Ambusher,"Advantage on Perception ability checks and a +1 bonus to Initiative rolls Deal additional 1d6 Necrotic damage with your weapons in combat against creatures that haven't taken a turn yet",Bought or stolen from Exxvikyap at the ground floor of Rivington General,X: 7 Y: -34,3
Seraphic Pugilist Gloves,"Deal additional 1d4 Radiant damage with unarmed strikes Cast Guiding Bolt (level 4) ( Recharge: Long rest)",Locked wooden chest in the dormitory on the ground floor of the Open Hand Temple,X: -87 Y: -7,3
Ring of Blink,Cast Blink ( Recharge: Long rest),Stolen from or rewarded after persuading[6] Tara on the roof of the Open Hand Temple,X: -45 Y: -5,3
Tressym Collar,Cast Telekinesis ( Recharge: Long rest),"Looted from Tara, if chosen to be killed or knocked out, on the roof of the Open Hand Temple. Looted from Tara if spared in Rivington and killed or knocked out on the roofs of Devil's Fee or Highberry's Home","X: -45 Y: -5 Devil's Fee X: -27 Y: 5 Highberry's Home X: 1 Y: -36",3
Sentient Amulet (Very Rare),"Cast Shatter (level 3) ( Recharge: Long rest) Gain an action to restore a number of Ki Points equal to your Martial Arts: Deft Strikes die ( Recharge: Long rest)",Rewarded for Help the Cursed Monk in the Open Hand Temple cellar crypt if you refuse to take on monk's madness,Open Hand Temple Cellar X: -7 Y: -1004,3
Stillmaker,Cast Hold Person (level 3) ( Recharge: Long rest),In a hole[7] next to the murder scene,Under Temple Cave Area X: 65 Y: -1019,3
Martial Exertion Gloves,"Gain an action to suffer 6d6 Piercing damage once, receiving a bonus attack for 1 turn and doubling your movement speed ( Recharge: Short rest)",Bought or stolen from Bumpnagel near the forge in the Angleiron's Cellar,Angleiron's Cellar X: -244 Y: -1069,3
Thunderpalm Strikers,"Deal additional 1d4 Thunder damage with unarmed strikes Cast Thunderwave (level 3) ( Recharge: Long rest)",Bought or stolen from Bumpnagel near the forge in the Angleiron's Cellar,Angleiron's Cellar X: -244 Y: -1069,3
Nimblefinger Gloves,"If gnome[1], gain a +2 bonus to Dexterity. If halfling or dwarf[1], gain a +1 bonus to Dexterity instead Sleight of Hand +1",Bought or stolen from Bumpnagel near the forge in the Angleiron's Cellar,Angleiron's Cellar X: -244 Y: -1069,3
Necklace of Elemental Augmentation,"When you deal Acid, Cold, Fire, Lightning, or Thunder damage with a cantrip, add your spellcasting modifier to the damage dealt",Traveller's chest on a shipwreck by the river north-west of the South Span Checkpoint,X: -97 Y: 107,3
Gleamdance Dagger,"This weapon sheds light in a 6 m / 20 ft radius. This can be toggled off While this dagger is held in your off-hand, gain a +1 bonus to AC",Farlin on the Western Beach to the very west of the South Span Checkpoint,X: -217 Y: 97,3
Corpsegrinder,"Deal additional 1d4 Thunder damage with this weapon Gain an action to slam the ground, dealing additional Thunder damage equal to your proficiency bonus to all creatures in a 3 m / 10 ft radius; The target(s) must succeed DC 12 Dexterity save or receive full damage (instead of half damage on a save), and get knocked 3 m / 10 ft back ( Recharge: Short rest)",Cairos on the Western Beach to the very west of the South Span Checkpoint,X: -219 Y: 105,3
Bonespike Boots,"+1 bonus to AC when not wearing armour or holding a shield  Jump distance is increased by 1.5 m / 5.0 ft Gain an action to leap at a target up to 9 m / 30 ft away, knocking them Prone for 2 turns if they fail their Strength save against your spell save DC ( Recharge: Per turn)",Trapped wooden chest in the Western Beach passageway cave,Western Beach Passageway X: -1341 Y: -856,3
Scarlet Leather Armour,Stealth +1,"Shabby wardrobe in the secret attic room of the Fraygo's Flophouse. Dolor at the entrance gate of the Murder Tribunal if you arrive there with no severed hands, or otherwise at the Highberry's Home wine festival[2] and later in the south-eastern room of the Facemaker's Boutique if not killed at the festival","X: -20 Y: 79 Murder Tribunal X: -1299 Y: 504 Highberry's Home X: 27 Y: -38 Facemaker's Boutique X: -166 Y: -39",3
Amulet of the Drunkard,"Your Drunk condition lasts for 5 turns instead of 2, and you regain 2d4 hit points once during the first turn of Drunk that happened with this item equipped","Bought from Hoots Hooligan on the ground floor of Sharess' Caress, after you accepted to taste her new brew",X: 21 Y: 85,3
Voss' Silver Sword,"Deal additional 1d4 Psychic damage with this weapon Gain a 1d4 bonus to attack rolls and damage rolls with this weapon against githyanki, Aberrations, Fiends, and Elementals Cast Wrathful Smite (level 1) ( Recharge: Short rest)","After talking to Raphael, stolen from Kith'rak Voss on the first floor of Sharess' Caress, if he was spared in Act One",X: 25 Y: 98,3
Silver Sword of the Astral Plane,"If githyanki[1], deal additional 1d6 Psychic damage with this weapon If githyanki, gain advantage on Intelligence, Wisdom, and Charisma saving throws, resistance to Psychic damage, and immunity to being Charmed Gain an action to strike the target, dealing additional Psychic damage equal to your proficiency bonus; The target must succeed DC 12 Constitution save or get Stunned for 2 turns ( Recharge: Short rest)","Rewarded by Kith'rak Voss on the first floor of Sharess' Caress if he was shown the Orphic Hammer that you can receive here by accepting the Raphael's deal[2]. Rewarded by Kith'rak Voss behind the locked door to the north-east of the City Sewers waypoint once he was promised in Sharess' Caress that you will retrieve the Orphic Hammer, and was shown the hammer here",X: 25 Y: 98 Lower City Sewers X: -70 Y: 826,3
Gauntlets of the Warmaster,"Targets have disadvantage on saving throws against your manoeuvres and weapon actions Attack rolls +1",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Horns of the Berserker,"+2 to attack rolls when attacking creatures that have already taken damage While not at full health, deal additional 2 Necrotic damage with your unarmed and melee attacks. While in combat, if you don't deal any damage this turn, suffer 1d4 Necrotic damage at the end of your turn",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Blightbringer,"When attacking gnomes and dwarves with this shortbow, gain a 1d4 bonus to attack rolls and damage rolls On a critical hit with this shortbow, the target gets Slowed for 2 turns",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Snow-Dusted Monastery Gloves,"Deal additional 1d4 Cold damage with unarmed strikes Cast Ice Knife (level 3) ( Recharge: Long rest)",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Cloak of Displacement,"Targets have disadvantage on attack rolls against you, from the start of your turn until you have taken any damage",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Garb of the Land and Sky,"When activating Patient Defence, gain Blade Ward for 1 turn When activating Step of the Wind, your next melee attack has advantage on attack rolls and deals additional 1d8 Force damage Armour Class +1",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Harmonic Dueller,"Gain an action to harmonise with the rapier, attempting a DC 15 Performance check; Upon success, deal additional damage equal to your Charisma modifier (minimum 1) with melee weapons, for 10 turns ( Recharge: Short rest)",Bought or stolen from Entharl Danthelon on the first floor of Danthelon's Dancing Axe,X: -11 Y: 140,3
Absolute Confidence Amulet,"Performance +1 Intimidation -1",Rewarded by Naaber on the ground floor of Carm's Garm for exhausting all of his dialogue. Can also be stolen for an additional reward below,X: 19 Y: 130,3
Seemingly Gleaming Ring,"Charisma saving throws +1 Wisdom saving throws -1",Rewarded by Naaber on the ground floor of Carm's Garm for exhausting all of his dialogue if the Absolute Confidence Amulet was stolen from him beforehand,X: 19 Y: 130,3
Flame Enamelled Armour,"+2 bonus to Initiative rolls Resistance to Fire damage and a +2 bonus to saving throws Cast Fire Shield: Warm ( Recharge: Long rest) Disadvantage on Stealth ability checks",Heavy chest in the corner of the armoury south-east of the Wyrm's Rock waypoint,X: -28 Y: 184,3
Infernal Spear,Deal additional 3 Poison damage with this weapon,Iron Consuls Mian and Nuff in the throne room on the first floor of the fortress,X: -6 Y: 208,3
Infernal Mace,Deal additional 3 Poison damage with this weapon,"Black Gauntlets Mohlen, Greyward, Ignur, and Aisha in the throne room on the first floor of the fortress. Black Gauntlets Uva, Hyrriet, and Volgu Drak on the upper floors of Felogyr's Fireworks, and later Black Gauntlets Holzt, Ralston, Paver, and Rives on the ground floor and in the basement of the Steel Watch Foundry",X: -6 Y: 208 Felogyr's Fireworks Steel Watch Foundry,3
Emblazoned Plate of the Marshal,"All incoming damage is reduced by 2 Resistance to Fire damage and a +2 bonus to saving throws Cast Fire Shield ( Recharge: Long rest) Disadvantage on Stealth ability checks","Ulder Ravengard in the throne room on the first floor of the fortress, if chosen to be killed[1]",X: -6 Y: 208,3
Duke Ravengard's Longsword,"When you kill an enemy, all allies within 9 m / 30 ft gain temporary hit points equal to your Charisma modifier (minimum 1) Gain an action to inspire an ally, giving them a condition for 3 turns to make one melee attack that deals additional 1d8 Piercing (1d10 if the ally has Improved Combat Superiority) damage and costs a Reaction[2] ( Recharge: Short rest) Charisma +2","Ulder Ravengard in the throne room on the first floor of the fortress, if chosen to be killed[1]",X: -6 Y: 208,3
Fabricated Arbalest,"Gain an action to fire a shimmering bolt, dealing 1d4 Piercing damage and inflicting 1 turn of Radiating Orb upon the target ( Recharge: Per turn) Gain a concentration action to fire a ray of light, dealing 2d10 Radiant damage in a 18 m / 60 ft line; The targets must succeed their Dexterity save against you spell save DC or receive full damage (instead of half damage on a save) and be Blinded for 1 turn. You may cast additional ray every turn for 10 turns, but you must succeed DC 14 Constitution save on each cast or get Burned for 2 turns ( Recharge: Short rest)","Enver Gortash in the throne room on the first floor during the coronation, or later on the top floor of the fortress","Throne room X: -6 Y: 208 Top floor X: -26 Y: 211",3
Cloth of Authority,"Immunity to being Frightened, Fearful, and afflicted with Hideous Laughter Advantage on Intimidation and Insight ability checks Armour Class +1","Enver Gortash in the throne room on the first floor during the coronation, or later on the top floor of the fortress","Throne room X: -6 Y: 208 Top floor X: -26 Y: 211",3
Tyrannical Jackboots,+1 bonus to Charisma saving throws and ability checks,"Enver Gortash in the throne room on the first floor during the coronation, or later on the top floor of the fortress","Throne room X: -6 Y: 208 Top floor X: -26 Y: 211",3
Gauntlet of the Tyrant,"Deal additional 1d4 Force damage with unarmed strikes +1 bonus to spell save DC Cast Command (level 3) ( Recharge: Long rest)","Enver Gortash in the throne room on the first floor during the coronation, or later on the top floor of the fortress","Throne room X: -6 Y: 208 Top floor X: -26 Y: 211",3
Servitor of the Black Hand Gloves,"Deal additional 1d4 Force damage with unarmed strikes Cast Fear ( Recharge: Long rest)",Opulent chest[3] in the audience hall wardrobe on the top floor,X: -32 Y: 198,3
Helldusk Boots,"Immunity to being moved against your will by enemy spells or actions, and your movement speed is unimpeded by Difficult Terrain When you fail a saving throw, you may use your Reaction to succeed it instead Gain an action to teleport up to 18 m / 60 ft away, dealing 2d8 Fire damage in a 3 m / 10 ft radius upon landing ( Recharge: Short rest)",Locked gilded chest[3] in the audience hall bedroom on the top floor,X: -32 Y: 219,3
Balduran's Giantslayer,"On a hit with this greatsword, deal additional damage equal to your Strength modifier x2 (instead of x1). Gain advantage on attack rolls against Large, Huge, or Gargantuan creatures Gain an action to increase in size, dealing additional 1d6 bonus damage with weapons and gaining advantage on Strength saving throws and ability checks (for 10 turns), and gaining 27 temporary hit points ( Recharge: Short rest) Gain an action to strike the target, dealing additional damage equal to your proficiency bonus; Large, Huge, and Gargantuan creatures take additional 2d6 Slashing damage and must succeed DC 12 Strength save or fall Prone for 2 turns ( Recharge: Short rest)",Ansur in The Dragon's Sanctum,Wyrmway X: 629 Y: -988,3
Helm of Balduran,"At the beginning of your turn, regain 2 hit points Saving throws +1 and AC +1 Immunity to being Stunned Immunity to enemy critical hits",On a stone altar in the alcove north of Ansur in The Dragon's Sanctum,Wyrmway X: 636 Y: -964,3
Cloth Armour,"When being damaged by an enemy, once per turn, gain Wrath for 2 turns",On a wooden table in the south-eastern room of the prison underneath the Basilisk Gate Barracks,Heapside Prison X: -1266 Y: 744,3
The Reviving Hands,"When healing others, give them Blade Ward for 2 turns. When reviving others, give them Death Ward for 2 turns Strength saving throws +1 Cast Revivify ( Recharge: Long rest)",Bought or stolen from Vicar Humbletoes at the Stormshore Tabernacle,X: 109 Y: -20,3
Mantle of the Holy Warrior,Cast Crusader's Mantle ( Recharge: Short rest),Bought or stolen from Vicar Humbletoes at the Stormshore Tabernacle,X: 109 Y: -20,3
The Sacred Star,"Deal additional 1d4 Radiant damage with this weapon On a hit with this morningstar, inflict 1 turn of Radiating Orb upon the target On a hit with this morningstar, Undead creatures must succeed DC 13 Wisdom save or get Turned for 3 turns Gain an action to strike the target, dealing additional Radiant damage equal to your proficiency bonus and creating an explosion of light in a 3 m / 10 ft radius; Enemies caught in the explosion must succeed DC 12 Constitution save or get Blinded for 3 turns ( Recharge: Short rest)",Bought or stolen from Vicar Humbletoes at the Stormshore Tabernacle,X: 109 Y: -20,3
Amulet of the Devout,"+2 bonus to spell save DC Gain an additional Channel Divinity charge that replenishes on short rest",Offering chest[1] in the treasury room in the Stormshore Tabernacle basement,Stormshore Tabernacle - Basement X: 796 Y: 1159,3
Shield of Shielding,"Gain an action to expend your Reaction and bash with this shield when hit by an enemy, knocking them Prone for 1 turn if they fail their Dexterity save against your spell save DC Cast Shield ( Recharge: Long rest)",Offerings to Helm chest[1] in the treasury room in the Stormshore Tabernacle basement,Stormshore Tabernacle - Basement X: 796 Y: 1159,3
Hammer of the Just,"Deal additional 1d4 Radiant damage with this weapon Deal additional 1d6 Bludgeoning damage with this weapon against Fiends and Undead Cast Detect Thoughts ( Recharge: Long rest)",Offerings to Tyr chest[1] in the treasury room in the Stormshore Tabernacle basement,Stormshore Tabernacle - Basement X: 796 Y: 1159,3
Dolor Amarus,"On a critical hit with weapons, deal addtitional 7 damage","Dolor at the entrance gate of the Murder Tribunal if you arrive there with no severed hands, or otherwise at the Highberry's Home wine festival[2] and later in the south-eastern room of the Facemaker's Boutique if not killed at the festival. Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal","Murder Tribunal X: -1299 Y: 504 Highberry's Home X: 27 Y: -38 Facemaker's Boutique X: -166 Y: -39 Murder Tribunal X: -1261 Y: 507",3
Spaceshunt Boots,Cast Dimension Door ( Recharge: Long rest),"Dolor at the entrance gate of the Murder Tribunal if you arrive there with no severed hands, or otherwise at the Highberry's Home wine festival[2] and later in the south-eastern room of the Facemaker's Boutique if not killed at the festival","Murder Tribunal X: -1299 Y: 504 Highberry's Home X: 27 Y: -38 Facemaker's Boutique X: -166 Y: -39",3
Blackguard's Sword,"Deal additional 1d4 Necrotic damage with this weapon On a Smite with this longsword, the target must succeed DC 13 Constitution save or get Dazed for 2 turns",That Which Guards[3] at the entrance gate of the Murder Tribunal,Murder Tribunal X: -1295 Y: 502,3
Blackguard's Plate,"All incoming damage is reduced by 1 Advantage on Wisdom saving throws Disadvantage on Stealth ability checks",That Which Guards[3] at the entrance gate of the Murder Tribunal,Murder Tribunal X: -1295 Y: 502,3
Shield of the Undevout,"Enemies have disadvantage on saving throws to resist your Fearful attacks and spells Gain one additional level 1 spell slot while having this shield equipped Gain an action to expend your Reaction and bash with this shield when hit by an enemy, knocking them Prone for 1 turn if they fail their Dexterity save against your spell save DC",That Which Guards[3] at the entrance gate of the Murder Tribunal,Murder Tribunal X: -1295 Y: 502,3
Blackguard's Greaves,"Movement speed is increased by 3 m / 10 ft Athletics +1",That Which Lurks[3] at the entrance gate of the Murder Tribunal,Murder Tribunal X: -1295 Y: 502,3
Blackguard's Gauntlets,"Cast Inflict Wounds (level 4) ( Recharge: Long rest) Strength saving throws +1 Attack rolls +1",That Which Watches[3] at the entrance gate of the Murder Tribunal,Murder Tribunal X: -1295 Y: 502,3
Sword of Chaos,"Deal additional 1d4 Necrotic damage with this weapon On a hit with this greatsword, regain 1d6 hit points",Sarevok Anchev at the tribunal hall,Murder Tribunal X: -1267 Y: 503,3
Sarevok's Horned Helmet,"Gain Darkvision with a 3 m / 10 ft range, or increase the existing one to 15 m / 50 ft. Reduce the number you need to roll a critical hit while attacking by 1. This effect stacks Immunity to being Frightened, Fearful, and afflicted with Hideous Laughter",Sarevok Anchev at the tribunal hall,Murder Tribunal X: -1267 Y: 503,3
Amulet of Bhaal,"On a hit against a target with full HP, once per attack, inflict 2 turns of Bleeding upon the target","Looted from Sarevok Anchev at the tribunal hall, or rewarded by him for Impress the Murder Tribunal",Murder Tribunal X: -1295 Y: 502,3
Bhaalist Gloves,"Attack rolls +1 Gain an action to garrote a Humanoid creature, dealing 1d10 Bludgeoning damage; The target must succeed DC 14 Strength save or suffer through Garrote for 3 turns ( Recharge: Short rest)",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Bhaalist Armour,"Enemies in a 2 m / 7 ft radius become vulnerable to Piercing damage, unless they are immune to it +2 bonus to Initiative rolls",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Assassin of Bhaal Cowl,"Gain Darkvision with a 3 m / 10 ft range and a +2 bonus to Initiative rolls Cast See Invisibility ( Recharge: Short rest)",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Craterflesh Gloves,"On a critical hit, deal additional 1d6 Force damage",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Vicious Battleaxe,"On a critical hit with weapons, deal addtitional 7 damage",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Vicious Shortbow,"On a critical hit with weapons, deal addtitional 7 damage",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Dread Iron Dagger,"While being Hidden, deal additional 1d6 Necrotic damage with your weapons",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Fleshrender,"Gain an action to strike the target, dealing additional Necrotic damage equal to your proficiency bonus; The target must suceed DC 12 Constitution save or suffer from Rended Flesh for 3 turns ( Recharge: Short rest)",Bought from Echo of Abazigal[4] at the tribunal hall after you became the unholy assassin during Impress the Murder Tribunal,Murder Tribunal X: -1261 Y: 507,3
Keepsake Ring,Cast Dominate Beast ( Recharge: Long rest),On the floor in the middle of the Elfsong Tavern basement,Elfsong Tavern - Basement X: -860 Y: 528,3
Boots of Psionic Movement,"If githyanki[5], deal additional 1d4 Psychic damage with your next melee weapon attack after casting Fly Dexterity saving throws +1 Gain an action to enable yourself to Fly for 10 turns ( Recharge: Long rest)",Ch'r'ai Har'rak next to the round table in the middle of the hideout hall,Knights of the Shield Hideout X: -739 Y: 549,3
Sword of the Emperor,"Deal additional 1d4 damage with this weapon against shapeshifting and polymorphed creatures +2 bonus to saving throws against spells",On a weapon rack in the northern-most room of the Knights of the Shield Hideout,Knights of the Shield Hideout X: -732 Y: 588,3
