itemName,itemEffect,itemSource,location,act
Komira's Locket,Cast Dancing Lights ( Recharge: Per turn),Rewarded by Arabella's parents for protecting her during Save Arabella,X: 262 Y: 542,1
The Whispering Promise,"When healing an ally or yourself, grant or receive Bless for 2 turns",Bought or stolen from Volo next to the druidic ritual site,X: 260 Y: 511,1
Cap of Curing,"On inspiring others with Bardic Inspiration, they regain 1d6 hit points",Locked gilded chest behind Alfira above the druidic ritual site,X: 289 Y: 488,1
Amulet of Silvanus,Cast Lesser Restoration ( Recharge: Short rest),Under a movable rock near Ormn by the beachside,X: 262 Y: 481,1
Broodmother's Revenge,"When healed, deal additional 1d6 Poison damage with weapons for 3 turns (equivalent to Dipping the weapon)",Kagha in the druid sanctum,"Inner Sanctum X: -463 Y: -28 Emerald Grove X: 208 Y: 481[3]",1
Pale Oak,"Immunity to being Ensnared by druidic vines, and they don't count as Difficult Terrain for you Gain a radial 3 m / 10 ft concentration AoE action with 10 turn duration that Entangles targets if they fail their Strength save against your spell save DC ( Recharge: Long rest)",Rewarded by Kagha to Druids in the druid sanctum if persuaded and saved during Investigate Kagha,Inner Sanctum X: -463 Y: -28,1
Robe of Summer,Resistance to Cold damage,Wooden crate to the right of the Wolf altar,Hidden Vault X: 183 Y: -82,1
Sorrow,Cast Sorrowful Lash as Bonus action ( Recharge: Per turn),On a stone slab at the Wolf altar,Hidden Vault X: 183 Y: -82,1
The Deathstalker Mantle,"When you kill an enemy, once per turn, become Invisible for 2 turns",Rewarded by Sceleritas Fel if you are The Dark Urge and killed Alfira[4] or Quil Grootslang at camp,Campsite,1
Ring of Colour Spray,Cast Colour Spray (level 1) ( Recharge: Short rest),"Harpy nest on top of a rock, south of the harpy encounter",X: 326 Y: 495,1
Silver Pendant,Cast Guidance ( Recharge: Per turn),On a skeleton near the Harper Outpost bonfire north and above the Nautiloid Wreck,X: 152 Y: 366,1
Fleetfingers,"On Dash or similar action, use Jump for free once per turn",Wooden chest buried in the ground under the tree,X: 77 Y: 347,1
Moondrop Pendant,"When at 50% or less hit points, you don't trigger enemy Opportunity Attacks",Magically locked[1] gilded chest near the statue of Selûne inside the cave,Owlbear Nest X: -321 Y: -135,1
Vision of the Absolute,"On a hit with this spear, the target must succeed DC 11 Dexterity save or get Blinded for 2 turns Deal additional 2d6 Piercing damage with this weapon against creatures with 4+ eyes",Crafted by combining Shaft of a Broken Spear and Head of a Broken Spear,Owlbear Nest X: -351 Y: -116,1
The Oak Father's Embrace,"When you are hit by Undead, they receive 1d6 Radiant damage. When you are hit by Beasts, you suffer 1d6 Radiant damage",On a skeleton near the owlbear's nest with the egg,Owlbear Nest X: -354 Y: -111,1
Haste Helm,"Once the combat starts, gain Momentum for 3 turns",Locked wooden chest near the Blighted Village waypoint,X: 32 Y: 403,1
Warped Headband of Intellect,Set your Intelligence to 17[1] while wearing this headband,Lump the Enlightened in the south-western part of the village,X: 13 Y: 366,1
Very Heavy Greataxe,"Gain a cleave attack that strikes all targets at half weapon damage with bonus 1d6 Slashing damage, but puts you Off Balance for 1 turn if you fail the DC 8 Strength save ( Recharge: Short rest)",Fezzerk in front of the windmill,X: 10 Y: 420,1
The Speedy Lightfeet,"On Dash or similar action, once per turn, gain 3 Lightning Charges",Heavy chest in the corner of the windmill cellar,Windmill Cellar X: -711 Y: -412,1
Steelforged Sword,Regular shortsword with +1 damage,Locked wooden chest on the elevated platform in the alcove near the forge,Blacksmith's Forge X: -432 Y: -372,1
Sussur Greatsword,"On a hit with this weapon, the target must succeed DC 12 Constitution save or get Silenced for 2 turns",Rewarded for Finish the Masterwork Weapon based on player's choice,Blacksmith's Forge X: -447 Y: -378,1
Sussur Dagger,"On a hit with this weapon, the target must succeed DC 12 Constitution save or get Silenced for 2 turns",Rewarded for Finish the Masterwork Weapon based on player's choice,Blacksmith's Forge X: -447 Y: -378,1
Sussur Sickle,"On a hit with this weapon, the target must succeed DC 12 Constitution save or get Silenced for 2 turns",Rewarded for Finish the Masterwork Weapon based on player's choice,Blacksmith's Forge X: -447 Y: -378,1
Bracers of Defence,+2 bonus to AC when not wearing armour or holding a shield,Gilded chest in the elevated alcove near the metal gate,Apothecary's Cellar X: -656 Y: -370,1
Spurred Band,"When at 50% or less hit points at the start of your turn, you gain Momentum for 1 turn",On a skeleton with a backpack nearby,Whispering Depths X: -495 Y: -365,1
Spiderstep Boots,Immunity to being Enwebbed. Your movement speed is not affected by web surfaces,Heavy chest in the arachnomancer's lab,Whispering Depths X: -514 Y: -411,1
Poisoner's Robe,Deal additional 1d4 Poison damage with Poison damage spells,"Phase Spider Matriarch at her lair, or in the Underdark if shoved into the lair central pit","Whispering Depths X: -537 Y: -349 Underdark X: 140 Y: 151",1
Gandrel's Aspiration,"Advantage on attack rolls with this weapon against Monstrosities Gain an action to Turn Undead during 1 turn when attacking with this weapon ( Recharge: Short rest)","Gandrel, southeast of the Riverside Teahouse waypoint",X: -26 Y: 240,1
Wood Woad Shield,Gain an action that deals 1d4 Bludgeoning damage and Ensnares the target if they fail their Strength save against your spell save DC ( Recharge: Short rest),Wood Woad near the giant tree stump in Decrepit Sanctuary,X: 85 Y: 212,1
The Sparkle Hands,"Gain 2 Lightning Charges on each unarmed and Improvised Melee Weapon hit or Throw Gain advantage on attack rolls against metallic creatures and armor while imbued with Lightning Charges",Wooden chest at the base of the giant tree stump in Decrepit Sanctuary,X: 95 Y: 210,1
Tarnished Charm,Reduce the DC of your death saving throws from 10 down to 5,Auntie Ethel at the Ancient Abode if chosen to be killed,Overgrown Tunnel X: -412 Y: 577,1
The Ever-Seeing Eye,Cast Protection from Evil and Good ( Recharge: Short rest),On a stone slab with letters in the Acrid Workshop,Overgrown Tunnel X: -416 Y: 599,1
Staff of Crones,Cast Ray of Sickness (level 1) ( Recharge: Short rest),Leaning against a crooked tree in the Acrid Workshop,Overgrown Tunnel X: -416 Y: 599,1
Smuggler's Ring,"Stealth +2 Sleight of Hand +2 Charisma -1",On a skeleton in the bush next to the river,X: 57 Y: 514,1
Sword of Justice,Gain a concentration action to give an ally or yourself +2 to AC. Effect ends when this weapon is unequipped ( Recharge: Short rest),"Looted from Anders in the Toll House, or rewarded by him for killing Karlach for Hunt the Devil",X: 110 Y: 560,1
Gloves of Heroism,"Gain Heroism for 10 turns when casting Channel Oath spells Strength saving throws +1",Wooden chest at the back of the hidden cellar room,Toll House Basement X: -674 Y: -401,1
Speedy Reply,"On a hit with this scimitar, once per turn, gain Momentum for 2 turns",On a dead body near the Risen Road cave,X: 25 Y: 603,1
Shattered Flail,"On a hit with this flail, regain 1d6 hit points. If not attacking for a turn, become Mad for 2 turns",Flind at the Risen Road cave,X: 32 Y: 602,1
Reason's Grasp,"On ending Rage, gain 15 temporary hit points",Locked wooden chest on the rocky ledge in the Risen Road cave,X: 37 Y: 644,1
Infernal Robe,"Cast Fire Shield (Warm) (level 4) ( Recharge: Long rest) Resistance to Fire damage Armour Class +1",Rewarded to Wyll (Origin or Companion) by Mizora at camp after killing Karlach and taking a long rest,Campsite,1
Svartlebee's Woundseeker,Gain a 1d4 bonus to attack rolls with this weapon against undamaged targets,Gauntlet Yeva at the jammed inn gate,X: -66 Y: 609,1
Hamarhraft,"When you jump, deal 1d4 Thunder damage in a 3 m / 10 ft radius on landing",Locked gilded chest in the burning room on the upper floor,X: -85 Y: 631,1
The Sparky Points,"On a hit with this trident, gain 2 Lightning Charges once per attack",Rewarded by Counsellor Florrick for rescuing her from the burning inn during Rescue the Grand Duke,X: -63 Y: 600,1
The Joltshooter,"On a hit with this bow, gain 2 Lightning Charges once per attack",Rewarded by Counsellor Florrick for rescuing her from the burning inn during Rescue the Grand Duke,X: -63 Y: 600,1
The Spellsparkler,"On a hit with a spell or cantrip, gain 2 Lightning Charges",Rewarded by Counsellor Florrick for rescuing her from the burning inn during Rescue the Grand Duke,X: -63 Y: 600,1
Harold,"On a hit with this heavy crossbow, the target must succeed DC 13 Charisma save or get Baned for 2 turns (equivalent to casting Bane on the target)",Looted from Zarys or rewarded by her for Find the Missing Shipment if Returning the Shipment requirements were met,Zhentarim Basement X: 277 Y: -249,1
The Jolty Vest,"You take 1 less Slashing damage When you take damage while imbued with Lightning Charges, the attacker must succeed DC 14 Dexterity save or get Shocked for 1 turn",Bought or stolen from Brem near the contraband if Returning the Shipment requirements were met,Zhentarim Basement X: 300 Y: -257,1
Giantbreaker,"On a hit with this heavy crossbow, the target is sent Reeling for 2 turns",Bought or stolen from Brem near the contraband if Returning the Shipment requirements were met,Zhentarim Basement X: 300 Y: -257,1
Titanstring Bow,Deal additional damage equal to your Strength modifier with this bow,Bought or stolen from Brem near the contraband if Returning the Shipment requirements were met,Zhentarim Basement X: 300 Y: -257,1
Gloves of Hail of Thorns,Cast Hail of Thorns (level 1) ( Recharge: Short rest),Bought or stolen from Brem near the contraband if Returning the Shipment requirements were met,Zhentarim Basement X: 300 Y: -257,1
Gloves of Thievery,Advantage on Sleight of Hand ability checks,Bought or stolen from Brem near the contraband if Returning the Shipment requirements were met,Zhentarim Basement X: 300 Y: -257,1
Rupturing Blade,"Gain an action that deals bonus 1d6 Fire + proficiency bonus damage to a target, but deals 1d6 Slashing damage to you; The target must succeed DC 12 Constitution save or suffer from Bleeding and Burning for 2 turns ( Recharge: Short rest)",Bought or stolen from Brem near the contraband if Returning the Shipment requirements were met,Zhentarim Basement X: 300 Y: -257,1
Abyss Beckoners,"Your summoned creatures have resistance to all damage types except Psychic. At the start of their turn, they must succeed DC 13 Wisdom save or become Mad",Ornate chest in one of the locked cells at the back of the hideout,Zhentarim Basement X: 306 Y: -170,1
Githyanki Greatsword (Psionic),"If githyanki[1], deal additional 1d4 Psychic damage with this weapon",Sarth Baretha at the githyanki patrol near the bridge,X: -137 Y: 558,1
Githyanki Longsword (+1),Regular longsword with +1 damage,Gish For'reth at the githyanki patrol near the bridge,X: -137 Y: 558,1
Githyanki Crossbow,Regular heavy crossbow with +1 damage,Raider Chost and Raider Zastri at the githyanki patrol near the bridge,X: -137 Y: 558,1
Swiresy Shoes,"Jump distance is increased by 1.5 m / 5.0 ft Acrobatics +1",Bought or stolen from Grat at the entrance to the fortress,X: -98 Y: 425,1
Gloves of Archery,Gain proficiency with Longbows and Shortbows. Deal additional 2 damage with ranged weapon attacks,Bought or stolen from Grat at the entrance to the fortress,X: -98 Y: 425,1
Boots of Aid and Comfort,"When healing a target, it gains 3 temporary hit points",Bought or stolen from Grat at the entrance to the fortress,X: -98 Y: 425,1
Doom Hammer,"On a hit with this maul, the target cannot regain hit points for 2 turns. Undead also receive disadvantage on attack rolls for 2 turns",Bought or stolen from Grat at the entrance to the fortress,X: -98 Y: 425,1
Returning Pike,"When thrown, returns to your hand",Bought or stolen from Grat at the entrance to the fortress,X: -98 Y: 425,1
Crusher's Ring,Movement speed is increased by 3 m / 10 ft,Novice Crusher[1] near the Goblin Camp waypoint,X: -74 Y: 441,1
Glowing Shield,"When at 50% or less hit points, you gain 8 temporary hit points ( Recharge: Short rest)","Locked wooden chest on a ridge next to the river, north-west of the Goblin Camp waypoint",X: -53 Y: 461,1
Absolute's Warboard,"If you have the Brand of the Absolute, gain +1 bonus to saving throws Cast Heroism (level 1) ( Recharge: Long rest)",Priestess Gut near the defiled altar,"X: 298 Y: -22 X: 258 Y: -19[1]",1
Absolute's Talisman,"If you have the Brand of the Absolute, gain advantage to death saving throws Cast Absolute's Talisman: Aid ( Recharge: Long rest)",Priestess Gut near the defiled altar,"X: 298 Y: -22 X: 258 Y: -19[1]",1
Blooded Greataxe,"When at 50% or less hit points, deal additional 1d4 Slashing damage with this weapon",Bought or stolen from Roah Moonglow to the left beyond the sanctum entrance,X: 275 Y: -29,1
Monster Slayer Glaive,"Gain a 1d4 bonus to attack rolls with weapons and spells against Monstrosities, and deal additional 1d4 damage with weapons against them Jump distance is increased by 1.5 m / 5.0 ft",Bought or stolen from Roah Moonglow to the left beyond the sanctum entrance,X: 275 Y: -29,1
Gold Wyrmling Staff,"Deal additional 1d4 Fire damage in melee with this weapon Cast Fire Bolt ( Recharge: Per turn)",Bought or stolen from Roah Moonglow to the left beyond the sanctum entrance,X: 275 Y: -29,1
Bow of Awareness,+1 bonus to Initiative rolls,Bought or stolen from Roah Moonglow to the left beyond the sanctum entrance,X: 275 Y: -29,1
Hunter's Dagger,"On a hit with this dagger, the target must succeed DC 13 Constitution save or get Ruptured for 3 turns",Bought or stolen from Roah Moonglow to the left beyond the sanctum entrance,X: 275 Y: -29,1
Jagged Spear,"On a hit with this spear, the target must succeed DC 10 Charisma save or suffer disadvantage on Constitution saves for 2 turns",On the ground near Torturer Spike to the right beyond the sanctum entrance,X: 334 Y: -37,1
Loviatar's Scourge,"Resistance to Necrotic damage. Deal additional 1d6 Necrotic damage on a hit with this mace, and suffer the same amount yourself (halved through resistance)","Bought, stolen[2], or looted from Abdirak at his quarters",X: 331 Y: -21,1
Ritual Dagger,"On a hit with this dagger, gain Bless for 1 turn Gain an action to suffer 1d4 Slashing damage to receive Bless for 1 turn ( Recharge: Per turn)",On a table near Abdirak at his quarters,X: 338 Y: -26,1
Ritual Axe,"On a hit with this handaxe, the target gets Baned for 2 turns. If you have 50% and more hit points when you hit, you suffer 1d6 Piercing damage once per attack",On a table near Abdirak at his quarters,X: 338 Y: -26,1
Amulet of Misty Step,Cast Misty Step ( Recharge: Short rest),Gilded chest next to the bed behind Polma,Defiled Temple X: 391 Y: 10,1
Faithbreaker,Gain an action that deals bonus 1d6 Force damage and pushes targets 5 m / 16 ft back if they fail their Strength save against your spell save DC ( Recharge: Short rest),Dror Ragzlin in the throne room,X: 299 Y: 36,1
Amulet of Selûne's Chosen,Cast Selûne's Dream ( Recharge: Long rest),Treasure crates beyond locked iron gate behind the throne room,X: 298 Y: 69,1
Gloves of the Growling Underdog,"Advantage on melee attack rolls when surrounded by 2+ foes Strength saving throws +1",Treasure crates beyond locked iron gate behind the throne room,X: 298 Y: 69,1
Springstep Boots,"On Dash or similar action during combat, once per turn, gain Momentum for 3 turns",Treasure crates beyond locked iron gate behind the throne room,X: 298 Y: 69,1
Assassin's Touch,Deal additional 1d4 Necrotic damage with this weapon against Knocked Out or Sleeping targets,Rewarded by Sazza[3] at Minthara's table for Save the Goblin Sazza,X: 333 Y: 41,1
Xyanyde,"On a miss with this mace, you encase the target in Faerie Fire for 2 turns if they fail their Dexterity save against your spell save DC ( Recharge: Short rest)",Minthara (NPC or Companion) at the table with invasion plans,X: 333 Y: 41,1
Spidersilk Armour,"Stealth +1 Advantage on Constitution saving throws",Minthara (NPC or Companion) at the table with invasion plans,X: 333 Y: 41,1
Boots of Striding,"On a concentration cast, gain Momentum for 1 turn. While concentrating, you cannot be pushed or fall Prone Athletics +1",Minthara (NPC or Companion) at the table with invasion plans,X: 333 Y: 41,1
The Watersparkers,"When you stand in water during combat, it electrifies When you start your turn on electrified surface, gain 3 Lightning Charges",Gilded chest next to Minthara's table,X: 333 Y: 41,1
Ring of Poison Resistance,Resistance to Poison damage,On a skeleton in a sarcophagus next to the Worg Pens entrance,X: 336 Y: 10,1
Beastmaster's Chain,Cast Animal Friendship (level 1) ( Recharge: Long rest),Wooden chest next to the table with meat,Worg Pens X: 379 Y: -43,1
Linebreaker Boots,"On Dash or similar action during combat, once per turn, gain Wrath for 3 turns",Beastmaster Zurk at the table with meat,Worg Pens X: 379 Y: -43,1
Worgfang,Goblins have disadvantage on attack rolls against you,In a pile of bones next to an animal carcass in the worg cell,Worg Pens X: 385 Y: -14,1
Blazer of Benevolence,"On inspiring others with Bardic Inspiration, you gain 4 temporary hit points",Rewarded by Volo at camp for Rescue Volo,Campsite,1
Helmet of Smiting,"On applying condition with a Smite spell, gain temporary hit points equal to your Charisma modifier Constitution saving throws +1",Locked gilded chest behind the locked iron gate south-west of the Selûnite Outpost waypoint,X: 163 Y: -248,1
Luminous Armour,"When you deal Radiant damage, inflict Radiating Orb in a 3 m / 10 ft radius around the target(s)",Locked opulent chest behind the hidden door[1] south of the Selûnite Outpost waypoint,X: 176 Y: -247,1
Phalar Aluve,"Performance +1 Gain an action to surround yourself for 5 turns with either the Singing aura that grants all allies in a 6 m / 20 ft radius a 1d4 bonus to Charisma, Wisdom, and Intelligence attack rolls and saving throws, or the Shrieking aura that reduces enemy Charisma, Wisdom, and Intelligence saving throws by 1d4 in a 6 m / 20 ft radius and lets you deal additional 1d4 Thunder damage to them. Effect ends when this weapon is unequipped ( Recharge: Short rest) Unlike most Longswords, this sword is a finesse weapon",Lodged into an ornate rock west of the Ancient Battlefield,X: 116 Y: -192,1
Amulet of the Unworthy,"Resistance to Slashing damage Vulnerability to Bludgeoning damage",Patrolling Minotaur north of the Ancient Battlefield,X: 164 Y: -172,1
Boots of Genial Striding,Your movement speed is unimpeded by Difficult Terrain,Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
Circlet of Blasting,Cast Scorching Ray (level 2) ( Recharge: Long rest),Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
The Baneful,"+1 to attack rolls and damage rolls with this weapon On a hit with this shortsword, the target must succeed DC 14 Charisma save or get Baned for 2 turns (equivalent to casting Bane on the target) ,Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88The effects function only when the weapon is Bound to an Eldritch Knight or is a Warlock's Pact Weapon",Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
Psychic Spark,"Shoot an additional dart when casting Magic Missile Cast Magic Missile (level 1) ( Recharge: Long rest)",Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
Cinder Shoes,"When you Burn a target, one per attack, gain Heat for 2 turns",Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
Sunwalker's Gift,Gain Darkvision while wearing this ring,Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
The Lifebringer,"When you gain Lightning Charges, gain 3 temporary hit points. The temporary hit points disappear when you have no lightning charges left",Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
Melf's First Staff,"+1 bonus to spell save DC and spell attack rolls Cast Melf's Acid Arrow (level 2) ( Recharge: Long rest)",Bought or stolen from Blurg at the Ebonlake Grotto,X: 107 Y: -88,1
Ring of Mind-Shielding,Advantage on saving throws against being Charmed,Rewarded by Omeluum at the Ebonlake Grotto for Help Omeluum Investigate the Parasite,X: 107 Y: -88,1
Creation's Echo,"When you deal Acid, Fire, Lightning, Radiant, or Necrotic damage, become resistant to that damage type for 2 turns",Bought or stolen from Omeluum at the Ebonlake Grotto after completing Help Omeluum Investigate the Parasite,X: 107 Y: -88,1
Pearl of Power Amulet,Gain an action to restore one spell slot of level 3 and lower ( Recharge: Long rest),Bought or stolen from Omeluum at the Ebonlake Grotto after completing Help Omeluum Investigate the Parasite,X: 107 Y: -88,1
Boots of Stormy Clamour,"On applying a condition to an enemy, once per attack, inflict 2 turns of Reverberation",Bought or stolen from Omeluum at the Ebonlake Grotto after completing Help Omeluum Investigate the Parasite,X: 107 Y: -88,1
Ring of Salving,Your healing actions regain additional 2 hit points,Bought or stolen from Omeluum at the Ebonlake Grotto after completing Help Omeluum Investigate the Parasite,X: 107 Y: -88,1
The Shadespell Circlet,"While being obscured, gain a +1 bonus to spell save DC",Bought or stolen from Omeluum at the Ebonlake Grotto after completing Help Omeluum Investigate the Parasite,X: 107 Y: -88,1
Boots of Speed,Gain an action to double your movement speed and inflict disadvantage on Opportunity Attacks against you for 1 turn ( Recharge: Per turn),"Looted from Thulla at the Ebonlake Grotto, or rewarded by her at the grotto for Cure the Poisoned Gnome. Looted back from Sergeant Thrinn if you gave her the boots for Find the Missing Boots",X: 82 Y: -99 X: -625 Y: 319,1
Shortsword of First Blood,Deal additional 1d8 Piercing damage with this weapon against undamaged targets,On an executed gnome east of the Decrepit Village,X: 73 Y: -186,1
Exterminator's Axe,"Deal additional 1d6 Fire damage with this weapon to Plants, Insects, and Small creatures",Gekh Coal on a wooden ledge north of the Decrepit Village waypoint,X: 14 Y: -96,1
Winter's Clutches,"When you deal Cold damage, inflict 2 turns of Encrusted with Frost upon the target(s)",Rewarded by Glut at the Ebonlake Grotto if sided during Avenge Glut's Circle. Bought or stolen from Lady Esther north-east of the Trielta Crags waypoint,X: 77 Y: -102 X: -42 Y: -129,1
Envoy's Amulet,Gain an action to grant an ally +2 bonus to Persuasion ability checks for 10 turns ( Recharge: Long rest),Rewarded by Sovereign Spaw at the Ebonlake Grotto for Deliver Nere's Head,X: 77 Y: -102,1
Champion's Chain,Gain an action to grant an ally +2 bonus to Intimidation ability checks for 10 turns ( Recharge: Long rest),Rewarded by Glut at the Ebonlake Grotto for Deliver Nere's Head if sided during Avenge Glut's Circle,X: 77 Y: -102,1
Shadow of Menzoberranzan,Cast Shrouded in Shadow ( Recharge: Short rest),On a pale corpse behind Guardian Gate in Ebonlake Grotto once Defeat the Duergar Intruders is complete,X: 51 Y: -74,1
Amulet of Restoration,"Cast Healing Word (level 1) ( Recharge: Long rest) Cast Mass Healing Word (level 3) ( Recharge: Long rest)",Bought or stolen from Derryth Bonecloak at the Ebonlake Grotto,X: 56 Y: -96,1
Corrosive Flail,"Gain an action to deal additional Acid damage with this weapon equal to your proficiency bonus. On a hit with this flail, create Acid pool around the target that reduces AC by 2 ( Recharge: Short rest)",Bought or stolen from Derryth Bonecloak at the Ebonlake Grotto,X: 56 Y: -96,1
Herbalist's Gloves,"When healing Poisoned allies, they get cured from the effect",Bought or stolen from Derryth Bonecloak at the Ebonlake Grotto,X: 56 Y: -96,1
Ring of Jumping,Cast Enhance Leap ( Recharge: Short rest) ,Bought or stolen from Derryth Bonecloak at the Ebonlake Grotto,X: 56 Y: -96,1
Caustic Band,Deal additional 2 Acid damage with your weapons ,Bought or stolen from Derryth Bonecloak at the Ebonlake Grotto,X: 56 Y: -96,1
Gloves of Uninhibited Kushigo,Deal additional 1d4 damage with Improvised Melee Weapon and Throw attacks,Rewarded by Derryth Bonecloak at the Ebonlake Grotto for Find the Mushroom Picker,X: 56 Y: -96,1
Explorer's Ring,"Nature +1 Survival +1",On a skeleton atop a rocky ledge at the back of the Bibberbang Grotto,X: -12 Y: -52,1
The Spectator Eyes,"Cast Ray of Fear ( Recharge: Long rest) Cast Wounding Ray ( Recharge: Long rest)",Spectator in the Petrified Battlefield west of the Selûnite Outpost,X: 119 Y: -248,1
The Blast Pendant,Gain an action to spend all of your Lightning Charges to increase the damage of your next Lightning damage spell or cantrip by the amount equal to the number of charges ( Recharge: Long rest),Dhourn in the Petrified Battlefield west of the Selûnite Outpost,X: 119 Y: -248,1
Mourning Frost,"Deal extra 1d4 Cold damage in melee with this weapon When you deal Cold damage, deal additional 1 Cold damage When you deal Cold damage with a spell, the target must succeed DC 12 Constitution save or get Chilled for 2 turns Cast Ray of Frost ( Recharge: Per turn)","Crafted by combining Icy Helve, Icy Metal and Icy Crystal",X: 119 Y: -248,1
Bloodguzzler Garb,"When being damaged by an enemy, once per turn, gain Wrath for 2 turns",Bulette in various open spaces of Underdark,X: 73 Y: -222,1
Drow Studded Leather Armour,Stealth +1,Locked heavy chest behind the spider webbing on a ledge west of the Petrified Battlefield,X: 71 Y: -220,1
Helmet of Autonomy,Proficiency in Wisdom saving throws,"On a skeleton next to the Cragged Rock, The Festering Cove entrance",X: 83 Y: -241,1
Slippery Chain Shirt,"When healing others, you automatically Disengage and don't trigger enemy Opportunity Attacks",Trapped gilded chest on a mushroom ledge surrounded by torchstalks,The Festering Cove X: -403 Y: 327,1
Sickle of BOOOAL,"Advantage on attack rolls against Bleeding targets, as long as there are Kuo-toa left to worship BOOOAL","Looted, bought or of stolen from Pooldripp the Zealous Rewarded by BOOOAL at its altar if the player decides to be his chosen",The Festering Cove X: -420 Y: 285,1
Skybreaker,Cast Searing Smite (level 1) ( Recharge: Long rest),Heavy chest in the workshop in front of the Arcane Tower entrance,X: 26 Y: -294,1
Uncovered Mysteries,Cast Detect Thoughts ( Recharge: Long rest),Gilded chest near the stairs on the upper level of the ground floor[2],Arcane Tower X: -46 Y: -282,1
Mystra's Grace,Cast Feather Fall ( Recharge: Per turn),Chest of the Mundane[3] on the northern balcony near the tower's entrance,Arcane Tower X: -37 Y: -266,1
